country_iso3,country_name,date,country_no2_index_daily_average,country_no2_index_14dma_average,country_no2_index_28dma_average
JPN,Japan,2021-05-01,3.325221652064158e-5,3.5103727478461774e-5,3.780897597582976e-5
JPN,Japan,2021-06-01,3.839937732486121e-5,3.766289917205864e-5,3.5885112366372865e-5
JPN,Japan,2021-07-01,3.310298498081485e-5,3.37234757568336e-5,3.51777617611452e-5
JPN,Japan,2021-08-01,2.8304813242523398e-5,2.8248345172572373e-5,2.9849867274426576e-5
JPN,Japan,2021-09-01,3.483253072750815e-5,3.3693199704940584e-5,3.139776115001248e-5
JPN,Japan,2021-10-01,4.1654236326015314e-5,4.0579274525837466e-5,3.9701664607143304e-5
JPN,Japan,2021-11-01,5.22890851942546e-5,5.016167719486038e-5,4.691927366104575e-5
JPN,Japan,2021-12-01,6.578295571396477e-5,6.299260659489624e-5,5.903627419898439e-5
JPN,Japan,2022-01-01,5.866713457535231e-5,5.9090483819652336e-5,6.205910019836872e-5
JPN,Japan,2022-02-01,5.848402894909653e-5,6.016541929971956e-5,6.095104728024448e-5
JPN,Japan,2022-03-01,6.128671955905116e-5,6.219368475795352e-5,6.14681238220346e-5
JPN,Japan,2022-04-01,3.778214208221988e-5,4.1098722153417074e-5,4.607457398161101e-5
JPN,Japan,2022-05-01,3.671323502227424e-5,3.6174003996703857e-5,3.62962275365013e-5
JPN,Japan,2022-06-01,3.4431452838185105e-5,3.568644224846354e-5,3.654517546326283e-5
JPN,Japan,2022-07-01,3.289108407789248e-5,3.331311300986521e-5,3.340780399379035e-5
JPN,Japan,2022-08-01,3.2691645777271456e-5,3.1512666590214734e-5,3.142089368999314e-5
JPN,Japan,2022-09-01,3.405019844072616e-5,3.34187877312795e-5,3.3560822038283476e-5
JPN,Japan,2022-10-01,4.389111887332178e-5,4.178690360806865e-5,3.865141838489627e-5
JPN,Japan,2022-11-01,5.468081621097964e-5,5.422306783854668e-5,5.222747511403646e-5
JPN,Japan,2022-12-01,5.954922510034971e-5,5.73780839116882e-5,5.554440467471104e-5
JPN,Japan,2023-01-01,5.8905135757952046e-5,6.0184107981556434e-5,6.017940931632967e-5
JPN,Japan,2023-02-01,5.7214761971830045e-5,5.675899562229987e-5,5.915417075905384e-5
JPN,Japan,2023-03-01,5.1024367554349916e-05,5.256502558974267e-5,5.4062891486449255e-5
JPN,Japan,2023-04-01,3.963513688090851e-5,4.341589883817532e-5,4.535052336993599e-5
JPN,Japan,2023-05-01,3.5727401222600884e-5,3.4221215457961724e-5,3.434228238656122e-5
JPN,Japan,2023-06-01,3.477799183963354e-5,3.531396011228737e-5,3.5812561632493e-5
JPN,Japan,2023-07-01,3.551856066513901e-5,3.539177623884347e-5,3.587293912302952e-5
JPN,Japan,2023-08-01,2.994346563868367e-5,3.126071582313181e-5,3.2242169091921984e-5
JPN,Japan,2023-09-01,3.6885159957315876e-5,3.4199037771730895e-5,3.257397972102789e-5
JPN,Japan,2023-10-01,4.1642723312366936e-5,4.0799457619693164e-5,3.951699751059866e-5
JPN,Japan,2023-11-01,5.0970595408035824e-5,4.8753829362707484e-5,4.781998026299531e-5
JPN,Japan,2023-12-01,5.932332343002552e-5,5.988338683682134e-5,5.599748327717359e-5
JPN,Japan,2024-01-01,5.392770911386877e-5,5.2606367643522136e-5,5.420249723598213e-5
JPN,Japan,2024-02-01,4.6099340156703233e-5,5.11098720536414e-5,5.35609776297783e-5
JPN,Japan,2024-03-01,3.675541238684282e-5,3.7076439011457994e-5,3.907135882559711e-5
JPN,Japan,2024-04-01,3.776573877425029e-5,3.757138407285866e-5,3.7672991640183455e-5
JPN,Japan,2024-05-01,3.32146799206512e-5,3.4694298216680405e-5,3.4992022735049716e-5
JPN,Japan,2024-06-01,3.361176381011466e-5,3.334056996967579e-5,3.385372017923485e-5
