country_iso3,country_name,date,country_no2_index_daily_average,country_no2_index_14dma_average,country_no2_index_28dma_average
KOR,South Korea,2021-03-01,1.0685781779176127e-4,1.0295240155427776e-4,1.0045622955023798e-4
KOR,South Korea,2021-04-01,7.742761639187381e-5,8.596161799781941e-5,9.122035640217582e-5
KOR,South Korea,2021-05-01,5.678961249023285e-5,5.895290024320862e-5,6.385035199742283e-5
KOR,South Korea,2021-06-01,5.6408472799272904e-5,5.7176082319989166e-5,5.757618370314958e-5
KOR,South Korea,2021-07-01,5.468047665348483e-5,5.806373580788501e-5,6.019439573169034e-5
KOR,South Korea,2021-08-01,5.281776573050008e-5,4.869203533898917e-5,4.6946171433109374e-5
KOR,South Korea,2021-09-01,5.297009171613832e-5,5.5752257279514754e-5,5.597668631016098e-5
KOR,South Korea,2021-10-01,9.251857581054055e-5,7.957460886793802e-5,6.864258561229814e-5
KOR,South Korea,2021-11-01,9.74281943415354e-5,9.790411866033488e-5,9.786525979904199e-5
KOR,South Korea,2021-12-01,1.2886592859440187e-4,1.260570607973206e-4,1.1815741527610998e-4
KOR,South Korea,2022-01-01,1.3927543573977636e-4,1.3929356929876107e-4,1.3869518341826174e-4
KOR,South Korea,2022-02-01,1.110090121086732e-4,1.1599289408131647e-4,1.2070448072942372e-4
KOR,South Korea,2022-03-01,1.0583088812788907e-4,1.0410650437065887e-4,1.0788177863011144e-4
KOR,South Korea,2022-04-01,7.3953226409925e-5,8.410150657884718e-5,9.09625984963755e-5
KOR,South Korea,2022-05-01,5.806693943010962e-5,5.911098723213852e-5,6.229392111546333e-5
KOR,South Korea,2022-06-01,5.1400133255849906e-5,5.656337280749274e-5,5.7960350579631915e-5
KOR,South Korea,2022-07-01,4.599672293420119e-5,4.331574896680293e-5,4.445378328454129e-5
KOR,South Korea,2022-08-01,5.17157154532997e-5,5.1132396049057974e-5,4.8373205561798614e-5
KOR,South Korea,2022-09-01,5.886437701581897e-5,5.2894548528701775e-5,5.429554666223648e-5
KOR,South Korea,2022-10-01,8.209021758768616e-5,8.012966472862844e-5,7.098620421174906e-5
KOR,South Korea,2022-11-01,1.0456862533324344e-4,1.044775019496229e-4,1.0170303988274031e-4
KOR,South Korea,2022-12-01,1.2574151596644276e-4,1.1231224328430701e-4,1.0669856410272593e-4
KOR,South Korea,2023-01-01,1.1064406110555892e-4,1.278295462590016e-4,1.318745170969998e-4
KOR,South Korea,2023-02-01,1.316070525762747e-4,1.207802473996224e-4,1.152971207976242e-4
KOR,South Korea,2023-03-01,1.0601680622377778e-4,1.0954681316921576e-4,1.1306957641652677e-4
KOR,South Korea,2023-04-01,6.737230990144116e-5,7.850812553649513e-5,8.888153740155875e-5
KOR,South Korea,2023-05-01,6.838952139046651e-5,6.536997214138248e-5,6.661678607373403e-5
KOR,South Korea,2023-06-01,5.2809721267029835e-5,5.509003957628363e-5,5.8999710082072706e-5
KOR,South Korea,2023-07-01,5.4196334743010445e-5,5.72783283908829e-5,5.767194072453508e-5
