country_iso3,country_name,date,country_no2_index_daily_average,country_no2_index_14dma_average,country_no2_index_28dma_average
IND,India,2024-06-01,4.452781452204834e-5,4.531525545169205e-5,4.702172922188333e-5
IND,India,2024-07-01,2.9486874418363894e-5,3.245801365719835e-5,3.5762861578017475e-5
IND,India,2024-08-01,2.8504296621856756e-5,2.8783264768285125e-5,2.86676941701713e-5
IND,India,2024-09-01,3.076548059451841e-5,2.9592089173518105e-5,2.930305999584389e-5
IND,India,2024-10-01,4.39281708893989e-5,4.094138854554416e-5,3.7711553372977566e-5
IND,India,2024-11-01,5.251813853091106e-5,5.0251174978680556e-5,4.887435175580647e-5
IND,India,2024-12-01,5.1741677257615215e-5,5.427871248721465e-5,5.370337491792117e-5
IND,India,2025-01-01,5.3123378957736854e-5,5.106045290876684e-5,5.162985270100872e-5
IND,India,2025-02-01,5.108564657088255e-5,5.212196396299069e-5,5.187393110828265e-5
IND,India,2025-03-01,5.019167748835393e-5,5.0377782538658556e-5,5.0892320800376376e-5
IND,India,2025-04-01,4.692611826356217e-5,4.793084853955067e-5,4.85847193460154e-5
IND,India,2025-05-01,4.3160898943592186e-5,4.440966108479436e-5,4.541062006418443e-5
IND,India,2025-06-01,3.3631793076990714e-5,3.6591767191923294e-5,3.846363687276725e-5
IND,India,2025-07-01,2.7425036649030696e-5,2.7411397095598766e-5,2.8632903778094372e-5
IND,India,2025-08-01,2.4588367779226777e-5,2.5425380415031197e-5,2.654138879406156e-5
IND,India,2025-09-01,2.9736948188590643e-5,2.7834199302077806e-5,2.628806041460797e-5
IND,India,2025-10-01,3.63431894010861e-5,3.5374620521985985e-5,3.3377525967957395e-5
IND,India,2025-11-01,4.857011718097012e-5,4.5049685367403796e-5,4.24100705308394e-5
IND,India,2025-12-01,5.584245762453878e-5,5.4760600916467245e-5,5.338727946582259e-5
IND,India,2026-01-01,4.975137595289827e-5,5.179442660169647e-5,5.310510595209811e-5
IND,India,2026-02-01,4.9526613468199796e-5,4.930381344708948e-5,4.9425463103402714e-5
IND,India,2026-03-01,4.855050885487259e-5,4.8861595993475775e-5,4.937057636649783e-5
IND,India,2026-04-01,4.236869322496643e-5,4.4471549288984335e-5,4.680329167019165e-5
