country_iso3,country_name,date,country_no2_index,n_cities_total,n_cities_with_value,average_data_coverage
PHL,Philippines,2021-12-23,1.4443413782801816e-5,21,21,0.5151322751322751
PHL,Philippines,2021-12-24,1.4280267662263676e-5,21,21,0.3458201058201058
PHL,Philippines,2021-12-25,1.3953092623934e-5,21,21,0.4783068783068783
PHL,Philippines,2021-12-26,1.3944605384180013e-5,21,21,0.2311111111111111
PHL,Philippines,2021-12-27,1.432523611805089e-5,21,21,0.14349206349206348
PHL,Philippines,2021-12-28,1.4030023854155152e-5,21,21,0.11767195767195768
PHL,Philippines,2021-12-29,1.4051371800532708e-5,21,21,0.19238095238095237
PHL,Philippines,2021-12-30,1.3881976226690125e-5,21,21,0.34074074074074073
PHL,Philippines,2021-12-31,1.397497802844983e-5,21,21,0.346031746031746
PHL,Philippines,2022-01-01,1.3925197300844185e-5,21,21,0.2848677248677249
PHL,Philippines,2022-01-02,1.3815399061415424e-5,21,21,0.14878306878306877
PHL,Philippines,2022-01-03,1.3724083415003293e-5,21,21,0.28084656084656084
PHL,Philippines,2022-01-04,1.3623199752990305e-5,21,21,0.40359788359788357
PHL,Philippines,2022-01-05,1.3617713642363648e-5,21,21,0.42158730158730157
PHL,Philippines,2022-01-06,1.369460323829032e-5,21,21,0.4850793650793651
PHL,Philippines,2022-01-07,1.382508803276688e-5,21,21,0.5172486772486773
PHL,Philippines,2022-01-08,1.3950136808177214e-5,21,21,0.37375661375661373
PHL,Philippines,2022-01-09,1.4162614598316827e-5,21,21,0.4706878306878307
PHL,Philippines,2022-01-10,1.4532309192674758e-5,21,21,0.5371428571428571
PHL,Philippines,2022-01-11,1.5018241385978838e-5,21,21,0.6162962962962963
PHL,Philippines,2022-01-12,1.5180540181111446e-5,21,21,0.6361904761904762
PHL,Philippines,2022-01-13,1.5266527875190705e-5,21,21,0.2582010582010582
PHL,Philippines,2022-01-14,1.5274042968458886e-5,21,21,0.2021164021164021
PHL,Philippines,2022-01-15,1.5285961635400802e-5,21,21,0.27936507936507937
PHL,Philippines,2022-01-16,1.527503589439409e-5,21,21,
PHL,Philippines,2022-01-17,1.5508201904028857e-5,21,21,0.3646560846560847
PHL,Philippines,2022-01-18,1.5408473741126574e-5,21,21,0.5147089947089947
PHL,Philippines,2022-01-19,1.525518911350314e-5,21,21,0.19089947089947087
PHL,Philippines,2022-01-20,1.5209785637513053e-5,21,21,0.2126984126984127
PHL,Philippines,2022-01-21,1.528197356434209e-5,21,21,0.3978835978835979
PHL,Philippines,2022-01-22,1.5541560406395865e-5,21,21,0.4103703703703704
PHL,Philippines,2022-01-23,1.5653864832409527e-5,21,21,0.24084656084656084
PHL,Philippines,2022-01-24,1.5440858956066157e-5,21,21,0.09566137566137566
PHL,Philippines,2022-01-25,1.543542474322998e-5,21,21,0.3235978835978836
PHL,Philippines,2022-01-26,1.5707883251047087e-5,21,21,0.12042328042328043
PHL,Philippines,2022-01-27,1.590108398573645e-5,21,21,0.3595767195767196
PHL,Philippines,2022-01-28,1.59476262385967e-5,21,21,0.4768253968253968
PHL,Philippines,2022-01-29,1.6282722073163805e-5,21,21,0.5415873015873016
PHL,Philippines,2022-01-30,1.633899225500592e-5,21,21,0.47915343915343916
PHL,Philippines,2022-01-31,1.6467697055942603e-5,21,21,0.46793650793650793
PHL,Philippines,2022-02-01,1.636962752845883e-5,21,21,0.3288888888888889
