country_iso3,country_name,date,country_no2_index_daily_average,country_no2_index_14dma_average,country_no2_index_28dma_average
IDN,Indonesia,2020-11-01,1.9721498883508224e-5,1.978799668480077e-5,1.9847837451922497e-5
IDN,Indonesia,2020-12-01,1.8994237210401893e-5,1.9247327725597535e-5,1.976332072851137e-5
IDN,Indonesia,2021-01-01,1.817348862134509e-5,1.8492516465491747e-5,1.849761698565576e-5
IDN,Indonesia,2021-02-01,1.84716897815423e-5,1.8139019032615826e-5,1.792110582295493e-5
IDN,Indonesia,2021-03-01,2.0715503713834228e-5,2.0353820936206604e-5,1.9796055027233212e-5
IDN,Indonesia,2021-04-01,2.1935446342671423e-5,2.1734825120560052e-5,2.1598010455387572e-5
IDN,Indonesia,2021-05-01,2.1600418940482816e-5,2.1563735782029014e-5,2.1678778298491547e-5
IDN,Indonesia,2021-06-01,2.345711778482609e-5,2.3034181229864737e-5,2.235905539401666e-5
IDN,Indonesia,2021-07-01,2.1123607872525733e-5,2.138734861157105e-5,2.2113762992722473e-5
IDN,Indonesia,2021-08-01,2.0580855606166354e-5,2.102053964474836e-5,2.1077842050330255e-5
IDN,Indonesia,2021-09-01,2.1635184102511165e-5,2.1259208576727353e-5,2.1176722397090262e-5
IDN,Indonesia,2021-10-01,2.3173768130606064e-5,2.275573653222074e-5,2.2252900578123607e-5
IDN,Indonesia,2021-11-01,2.1414056364496822e-5,2.1974076051606388e-5,2.236197819795212e-5
IDN,Indonesia,2021-12-01,2.145643293345518e-5,2.1648869531476332e-5,2.1443915388970307e-5
IDN,Indonesia,2022-01-01,2.067369294356612e-5,2.037675820014454e-5,2.060983570576919e-5
IDN,Indonesia,2022-02-01,1.9248433341987076e-5,2.0151297777655856e-5,2.0577310594889278e-5
IDN,Indonesia,2022-03-01,2.1921178902454983e-5,2.080765103255125e-5,2.025252073632963e-5
IDN,Indonesia,2022-04-01,2.2699548785656364e-5,2.269536781568391e-5,2.278785629735124e-5
IDN,Indonesia,2022-05-01,2.275523520421583e-5,2.2195784800484385e-5,2.172775648252418e-5
IDN,Indonesia,2022-06-01,2.2805923693162434e-5,2.368886085073904e-5,2.3729834935449246e-5
IDN,Indonesia,2022-07-01,2.2323821503758712e-5,2.2131520926675154e-5,2.249955901369423e-5
IDN,Indonesia,2022-08-01,2.3505414327923248e-5,2.3382659007308112e-5,2.3157315700489702e-5
IDN,Indonesia,2022-09-01,2.2353362962403586e-5,2.2755322384404194e-5,2.2790971712759814e-5
IDN,Indonesia,2022-10-01,2.2254699521060096e-5,2.2712511982617108e-5,2.2809451362669498e-5
IDN,Indonesia,2022-11-01,2.0513244301508085e-5,2.0402237462249434e-5,2.0941500149495748e-5
IDN,Indonesia,2022-12-01,2.0402413453854085e-5,2.091975214347971e-5,2.0772038871107993e-5
IDN,Indonesia,2023-01-01,1.8633526422558976e-5,1.8596916890698792e-5,1.9099411247404767e-5
IDN,Indonesia,2023-02-01,2.101559692556397e-5,2.0522598778828286e-5,1.9792599836452105e-5
