country_iso3,country_name,date,country_no2_index_daily_average,country_no2_index_14dma_average,country_no2_index_28dma_average
MYS,Malaysia,2023-07-01,2.461910508099467e-5,2.499766174597831e-5,2.6214271447579455e-5
MYS,Malaysia,2023-08-01,2.451605991623815e-5,2.4997079150169022e-5,2.4477234217757683e-5
MYS,Malaysia,2023-09-01,2.3637603333168623e-5,2.3434244616651834e-5,2.35780490447163e-5
MYS,Malaysia,2023-10-01,2.7569171101447457e-5,2.6719253071203373e-5,2.5996572751213017e-5
MYS,Malaysia,2023-11-01,2.6442279360830437e-5,2.684965066739766e-5,2.7503994415574286e-5
MYS,Malaysia,2023-12-01,2.519324661206154e-5,2.6382724217579884e-5,2.662420301440501e-5
MYS,Malaysia,2024-01-01,2.12423764910682e-5,2.0942196699480594e-5,2.1343176232248072e-5
MYS,Malaysia,2024-02-01,2.1248914269123158e-5,2.119385400051727e-5,2.1695137294261634e-5
MYS,Malaysia,2024-03-01,2.280548496624692e-5,2.2083099244154383e-5,2.159710659018363e-5
MYS,Malaysia,2024-04-01,2.781160841737345e-5,2.6730529080383806e-5,2.5383879330090923e-5
MYS,Malaysia,2024-05-01,2.7390028431825003e-5,2.8090376767161134e-5,2.8181973529768732e-5
MYS,Malaysia,2024-06-01,2.6856236520922878e-5,2.70025063415463e-5,2.7480871600350905e-5
MYS,Malaysia,2024-07-01,2.7027401451664643e-5,2.7271134309410843e-5,2.745788589967744e-5
MYS,Malaysia,2024-08-01,2.4770327847476324e-5,2.4418769669869206e-5,2.465042489025767e-5
MYS,Malaysia,2024-09-01,2.4076907583550588e-5,2.428797665402855e-5,2.455253610004232e-5
MYS,Malaysia,2024-10-01,2.5897809425337885e-5,2.5872958646649448e-5,2.5230522423678977e-5
MYS,Malaysia,2024-11-01,2.521989720190523e-5,2.5081959557575585e-5,2.545805026436692e-5
MYS,Malaysia,2024-12-01,2.413968616025174e-5,2.491053119119215e-5,2.4699329475912765e-5
MYS,Malaysia,2025-01-01,1.921794872976481e-5,2.0379020349379275e-5,2.192264154276006e-5
MYS,Malaysia,2025-02-01,2.447207735322312e-5,2.333322507534211e-5,2.1404144928463575e-5
MYS,Malaysia,2025-03-01,2.2675563952878783e-5,2.157958772701625e-5,2.2541410275292296e-5
MYS,Malaysia,2025-04-01,2.3577089881129206e-5,2.3617688781303106e-5,2.3080565796063788e-5
MYS,Malaysia,2025-05-01,2.8423149938584273e-5,2.7279812634008574e-5,2.6388503191789413e-5
MYS,Malaysia,2025-06-01,2.729920280955281e-5,2.8135420234821965e-5,2.8192891895453624e-5
MYS,Malaysia,2025-07-01,2.682706862820417e-5,2.745177129036214e-5,2.7682095945283674e-5
MYS,Malaysia,2025-08-01,2.7701056932118485e-5,2.751231509530215e-5,2.6951981026710835e-5
MYS,Malaysia,2025-09-01,2.5925012355650018e-5,2.5132771835348367e-5,2.5959431956136628e-5
MYS,Malaysia,2025-10-01,2.624533256219477e-5,2.6800453053480807e-5,2.6676987187643737e-5
MYS,Malaysia,2025-11-01,2.417660468464807e-5,2.4773674041710008e-5,2.546056324594432e-5
MYS,Malaysia,2025-12-01,2.3161448741839664e-5,2.2842545531493425e-5,2.364333018794952e-5
MYS,Malaysia,2026-01-01,2.386265628454434e-5,2.4251044702192508e-5,2.2996641401632203e-5
MYS,Malaysia,2026-02-01,2.393202104872904e-5,2.3126080788495107e-5,2.406946930187991e-5
MYS,Malaysia,2026-03-01,2.7866718143277755e-5,2.7274799686674722e-5,2.614587404187225e-5
MYS,Malaysia,2026-04-01,3.413472008584411e-5,3.259480663765041e-5,2.930291644251318e-5
